Carimbo de data/hora,INEP DA ESCOLA,NOME DO FUNCIONÁRIO,CPF,E-MAIL,CARGO DE OCUPAÇÃO
30/04/2025 08:28:15,12375642,Ana Clara Moreira,123.456.789-01,	ana.clara@empresa.com,Diretor(a) / Gestor(a) Escolar
30/04/2025 08:28:42,12345678,Bruno Henrique da Silva,234.567.890-12,bruno.henrique@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:29:11,23456789,Carla Souza Martins,345.678.901-23,carla.martins@empresa.com,Supervisor(a) Escolar
30/04/2025 08:29:40,34567890,Daniel Oliveira Santos,456.789.012-34,daniel.santos@empresa.com,Fonoaudiólogo(a)
30/04/2025 08:30:14,4567890,Eliane Castro Ramos,567.890.123-45,eliane.ramos@empresa.com,Diretor(a) / Gestor(a) Escolar
30/04/2025 08:30:42,56789012,Felipe Gomes Andrade,678.901.234-56,felipe.andrade@empresa.com,Diretor(a) / Gestor(a) Escolar
30/04/2025 08:31:10,67890123,Gabriela Lima Torres,789.012.345-67,gabriela.torres@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:31:38,78901234,Henrique Alves Batista,890.123.456-78,henrique.batista@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:32:07,89012345,Isabela Ferreira Costa,901.234.567-89,isabela.costa@empresa.com,Supervisor(a) Escolar
30/04/2025 08:32:45,90123456,João Pedro Nascimento,012.345.678-90,joao.nascimento@empresa.com,Fonoaudiólogo(a)
30/04/2025 08:33:11,12375642,Karla Regina Mendes,321.654.987-00,karla.mendes@empresa.com,Supervisor(a) Escolar
30/04/2025 08:33:47,12345678,Lucas Eduardo Barros,432.765.098-11,lucas.barros@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:34:20,23456789,Mariana Rocha Figueiredo,543.876.109-22,mariana.figueiredo@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:34:46,34567890,Nelson Cardoso Teixeira,654.987.210-33,nelson.teixeira@empresa.com,Professor(a) Regular / Especialista
30/04/2025 08:35:14,45678901,Priscila Andrade Luz,765.098.321-44,priscila.luz@empresa.com,Professor(a) Regular / Especialista
06/05/2025 08:30:01,12345678,Ana Cláudia Ribeiro,381.442.019-65,ana.ribeiro@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:30:23,12345678,Bruno Ferreira da Silva,064.198.735-24,bruno.silva@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:30:57,23456789,Carla Martins Soares,758.349.620-11,carla.soares@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:31:23,23456789,Daniel Costa Lima,419.820.537-90,daniel.lima@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:31:49,23456789,Érica Nogueira Santos,563.017.894-20,erica.santos@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:32:23,67890123,Felipe Andrade Rocha,137.584.202-49,felipe.rocha@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:32:47,67890123,Gabriela Pinto Cardoso,926.473.158-00,gabriela.cardoso@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:33:13,67890123, Henrique Almeida Barros,810.346.957-62,henrique.barros@escola.edu.br,Professor(a) Regular / Especialista
06/05/2025 08:33:47,67890123,Isabela Tavares Monteiro,495.820.364-78,isabela.monteiro@escola.edu.br,Professor(a) Regular / Especialista
